Địa phương,Năm,Chi tiêu cho giáo dục
Trà Vinh,2020,0.671181
Trà Vinh,2021,0.623709
Trà Vinh,2022,0.572624
Tuyên Quang,2018,0.235076
Tuyên Quang,2019,0.249006
Tuyên Quang,2020,0.497946
Tuyên Quang,2021,0.551997
Tuyên Quang,2022,0.867196
Vĩnh Long,2018,0.446658
Vĩnh Long,2019,0.639362
Vĩnh Long,2020,0.497794
Vĩnh Long,2021,0.48999
Vĩnh Long,2022,0.53011
Vĩnh Phúc,2018,0.9070146666666666
Vĩnh Phúc,2019,0.88521
Vĩnh Phúc,2020,1.007542
Vĩnh Phúc,2021,0.828292
Vĩnh Phúc,2022,0.9070146666666666
Yên Bái,2018,0.748161
Yên Bái,2019,0.594146
Yên Bái,2020,0.538622
Yên Bái,2021,0.526685
Yên Bái,2022,0.526685
